Scrophularia canina subsp. canina
Scrophularia frutescens var. frutescens
Scrophularia frutescens var. latifolia
Scrophularia herminii
Scrophularia lyrata
Scrophularia peregrina
Scrophularia sambucifolia subsp. sambucifolia
Scrophularia scorodonia var. glabrescens
Scrophularia scorodonia var. scorodonia
Scrophularia valdesii
Verbascum barnadesii
Verbascum giganteum subsp. martinezii
Verbascum pulverulentum
Verbascum simplex
Verbascum sinuatum
Verbascum thapsus
Verbascum virgatum
Verbena officinalis
Verbena supina
Lonicera etrusca
Lonicera implexa var. implexa
Lonicera implexa var. valentina
Lonicera periclymenum subsp. hispanica
Lonicera periclymenum subsp. periclymenum
Sambucus ebulus
Sambucus nigra
Viburnum lantana
Viburnum opulus
Viburnum tinus
Cephalaria leucantha
Dipsacus comosus
Dipsacus fullonum
Dipsacus sativus
Knautia nevadensis var. nevadensis
Knautia subscaposa var. subscaposa
Lomelosia simplex subsp. simplex
Lomelosia simplex subsp. dentata
Lomelosia stellata
Pterocephalidium diandrum
Pycnocomon intermedium
Pycnocomon rutifolium
Scabiosa atropurpurea
Scabiosa columbaria subsp. columbaria
Scabiosa columbaria subsp. affinis
Scabiosa galianoi
Succisa pinnatifida
Succisa pratensis
Succisella carvalhoana
Centranthus calcitrapae var. calcitrapae
Centranthus ruber subsp. ruber
Fedia cornucopiae var. cornucopiae
Fedia cornucopiae var. scorpioides
Valeriana dioica
Valeriana montana
Valeriana officinalis
Valeriana tuberosa
Valerianella coronata f. coronata
Valerianella coronata f. pumila
Valerianella dentata f. dentata
Valerianella discoidea
Valerianella echinata
Valerianella eriocarpa var. eriocarpa
Valerianella eriocarpa var. muricata
Valerianella locusta subsp. lusitanica
Valerianella locusta subsp. locusta
Valerianella microcarpa
Valerianella multidentata
Aizoon hispanicum
Mesembryanthemum nodiflorum
Amaranthus blitum subsp. blitum
Amaranthus graecizans subsp. silvestris
Arthrocnemum macrostachyum
Atriplex glauca
Atriplex halimus
Atriplex patula
Atriplex prostrata
Atriplex rosea
Bassia scoparia subsp. scoparia
Beta macrocarpa
Beta maritima
Chenopodium album var. album
Chenopodium album var. reticulatum
Chenopodium bonus-henricus
Chenopodium botrys
Chenopodium chenopodioides
Chenopodium exsuccum
Chenopodium ficifolium
Chenopodium glaucum
Chenopodium murale
Chenopodium opulifolium
Chenopodium polyspermum
Chenopodium urbicum
Chenopodium vulvaria
Halimione portulacoides
Halopeplis amplexicaulis
Patellifolia patellaris
Polycnemum arvense
Salicornia ramosissima
Salsola kali
Salsola soda
Salsola vermiculata
Sarcocornia fruticosa
Sarcocornia perennis subsp. alpini
Sarcocornia perennis subsp. perennis
Suaeda albescens
Suaeda spicata
Suaeda splendens
Suaeda vera
Arenaria algarbiensis
Arenaria conimbricensis subsp. conimbricensis
Arenaria emarginata subsp. emarginata
Arenaria leptoclados
Arenaria montana subsp. montana
Arenaria querioides subsp. querioides
Arenaria serpyllifolia
